DateTime,AddedIPs,RemovedIPs
1505662381,1,0
1505680381,1,0
1505687581,0,2
1505698381,0,1
1505701981,1,0
1505705581,1,0
1505709181,0,1
1505712781,0,1
1505730782,0,1
1505737981,1,1
1505745182,1,0
1505795582,1,2
1505799181,1,0
1505817181,2,0
1505820782,0,1
1505827981,1,0
1505831581,1,1
1505838782,0,1
1505842381,1,0
1505849581,0,2
1505860382,2,1
1505874781,0,1
1505881981,0,1
1505914382,0,2
1505921581,0,2
1505932381,0,1
1505935981,1,0
1505971981,1,0
1505975581,0,1
1505982781,2,1
1505993581,1,0
1506007981,0,1
1506011581,0,1
1506015181,1,0
1506018781,0,4
1506025981,1,0
1506033181,1,0
1506051181,0,1
1506058381,0,1
1506065582,0,1
1506087181,0,1
1506101581,0,2
1506112381,1,2
1506123182,0,1
1506130381,0,2
1506141181,0,1
1506148381,0,1
1506151981,1,0
1506169981,0,2
1506184381,1,1
1506187981,1,2
1506195181,0,4
1506202381,1,0
1506205981,0,1
1506209581,1,0
1506213181,1,0
1506223981,2,1
1506227581,2,0
1506238381,2,0
1506249181,5,0
1506256381,0,1
1506259982,3,0
1506267181,1,0
1506270781,2,0
1506274382,0,3
1506277981,1,0
1506281581,2,0
1506288781,0,1
1506295981,2,2
1506342781,0,1
1506346381,2,0
1506349981,2,0
1506353581,0,1
1506360781,1,1
1506364381,0,1
1506375182,2,0
1506378781,1,0
1506396781,1,0
1506407581,3,0
1506418381,1,1
1506425581,0,2
1506439981,0,1
1506443581,1,0
1506450781,1,0
1506454381,0,1
1506465181,0,1
1506468781,0,1
1506472381,1,0
1506490381,0,1
1506493981,0,2
1506497582,0,1
1506511982,1,2
1506519181,2,0
1506522781,0,1
1506526382,1,0
1506529981,0,2
1506537181,1,2
1506540781,0,1
1506551581,0,1
1506555181,0,1
1506562381,0,1
1506594781,0,1
1506619981,4,0
1506623581,1,0
1506630781,0,1
1506637981,0,1
1506663181,1,0
1506673982,0,1
1506681182,0,1
1506706381,0,1
1506720781,0,1
1506724381,1,2
1506727981,0,1
1506742381,0,2
1506753181,0,1
1506767581,0,1
1506771181,0,1
1506778381,3,0
1506785581,0,2
1506789181,1,0
1506817981,0,2
1506821581,0,1
1506828781,0,1
1506835982,8,1
1506850381,1,1
1506879181,1,0
1506900781,1,0
1506915181,0,1
1506925981,1,2
1506936781,0,2
1506943981,0,1
1506947581,1,1
1506954782,1,0
1506961981,1,0
1506965581,1,1
1506969181,1,0
1506976381,0,2
1507008781,0,2
1507019581,1,1
1507023181,0,1
1507037581,2,0
1507051981,2,0
1507055581,0,1
1507066381,1,0
1507131181,0,1
1507138381,1,0
1507145581,1,0
1507152781,0,1
1507167181,0,1
1507174381,0,1
1507177981,1,0
1507188781,0,1
1507203181,1,0
1507206781,1,0
1507231981,1,0
1507239181,0,2
1507242782,1,0
1507246381,12,0
1507249981,2,0
1507257181,4,0
1507260781,1,0
1507267981,4,1
1507271581,4,0
1507289581,2,3
1507300381,0,1
1507311181,1,0
1507321981,0,1
1507329181,1,1
1507332781,1,0
1507336381,0,1
1507365181,0,2
1507368782,0,1
1507375981,2,0
1507408381,0,1
1507411982,2,0
1507422781,1,0
1507433581,1,1
1507440782,2,0
1507483982,1,0
1507501982,1,0
1507505581,3,0
1507512781,1,0
1507519981,2,0
1507527181,0,1
1507534382,1,0
1507537981,0,2
1507548781,0,1
1507559581,2,0
1507563181,0,1
1507581181,1,0
1507584781,0,1
1507588382,1,0
1507613582,1,0
1507624381,0,1
1507638781,0,3
1507642381,0,1
1507649581,1,1
1507689181,0,1
1507703581,0,4
1507717981,1,0
1507725181,0,2
1507728781,0,1
1507732381,1,0
1507739581,1,1
1507747227,1,1
1507764782,0,1
1507775581,0,1
1507804381,0,2
1507825981,1,0
1507890781,0,1
1507901581,1,0
1507908781,1,1
1507912381,2,0
1507915981,0,1
1507919581,2,1
1507923181,1,1
1507926781,0,1
1507937581,1,1
1507966381,0,1
1507980781,2,0
1507987981,0,1
1507995181,0,2
1507998781,1,0
1508002381,0,1
1508023981,0,1
1508031181,0,1
1508041981,0,2
1508049182,0,1
1508056381,0,1
1508067181,1,0
1508077981,2,0
1508081581,2,0
1508088781,0,1
1508113982,0,1
1508135581,0,1
1508142781,0,1
1508164381,0,1
1508167981,0,1
1508175181,0,1
1508214781,0,1
1508218381,2,0
1508225581,2,0
1508250781,2,0
1508257981,3,0
1508261581,1,2
1508272381,0,1
1508279581,0,1
1508286781,0,1
1508301181,0,1
1508311981,2,0
1508351581,0,1
1508358782,0,2
1508365981,0,1
1508394781,0,1
1508405581,0,1
1508409181,0,1
1508416381,1,0
1508419982,1,0
1508434381,0,1
1508441581,0,1
1508448781,0,2
1508455981,0,1
1508466782,1,0
1508477581,1,0
1508481181,1,1
1508506381,0,1
1508535181,1,0
1508538781,2,1
1508549582,1,0
1508560382,1,0
1508571181,1,0
1508578381,0,1
1508589181,0,1
1508596381,0,1
1508599981,1,0
1508614381,0,1
1508625181,0,1
1508628781,0,1
1508646781,0,1
1508650381,1,0
1508653982,1,1
1508671981,2,0
1508675581,1,0
1508686381,1,0
1508689981,0,1
1508693582,3,0
1508697181,3,0
1508700781,2,1
1508711582,0,2
1508715181,2,0
1508722381,1,0
1508729581,1,0
1508740381,2,0
1508758381,0,1
1508772782,1,0
1508797982,0,1
1508805181,3,0
1508808782,1,1
1508815981,0,1
1508837581,0,1
1508841181,0,1
1508862781,0,1
1508866381,0,2
1508877181,1,0
1508902381,0,1
1508923981,1,0
1508927581,0,1
1508938381,0,2
1508945582,1,0
1508949181,0,1
1508952781,0,1
1508959981,1,0
1508967181,0,1
1508977982,0,3
1508999581,0,1
1509021181,0,1
1509024781,1,0
1509035581,0,1
1509042782,1,0
1509046381,0,1
1509064381,8,0
1509067981,2,0
1509071581,0,1
1509075181,1,0
1509085981,1,0
1509089582,0,1
1509096781,1,1
1509100381,2,0
1509107581,0,1
1509111181,1,0
1509114781,0,1
1509121981,4,3
1509129181,0,1
1509136382,1,1
1509139981,1,0
1509147182,2,0
1509150781,0,1
1509157981,0,1
1509165181,0,1
1509186781,0,3
1509193981,2,0
1509197582,1,1
1509204781,1,0
1509211982,0,2
1509215581,1,2
1509229981,2,0
1509240781,1,1
1509251581,0,1
1509255181,1,1
1509262381,1,0
1509269581,1,0
1509273181,1,0
1509280381,1,0
1509283981,0,1
1509291182,1,0
