DateTime,AddedIPs,RemovedIPs
1507955581,12,13
1507959181,4,6
1507966381,18,13
1507969981,5,10
1507977182,10,11
1507980781,12,10
1507987981,7,7
1507991581,7,9
1507998781,10,6
1508002381,9,10
1508005981,12,11
1508013181,8,13
1508016781,6,9
1508023981,3,1
1508027582,7,6
1508034782,13,10
1508041981,13,13
1508045582,5,7
1508049182,4,4
1508056381,5,5
1508059981,9,8
1508067181,11,12
1508070781,13,14
1508077981,12,13
1508081581,15,14
1508088781,4,3
1508092381,5,7
1508095981,12,10
1508103181,6,6
1508106781,8,9
1508110381,6,6
1508113982,9,7
1508121181,7,7
1508128381,9,12
1508131981,9,8
1508139182,16,13
1508142781,7,7
1508149981,15,16
1508153581,11,12
1508160781,7,8
1508167981,7,6
1508171581,11,14
1508178781,9,7
1508182381,12,12
1508189581,11,10
1508193181,7,5
1508196782,8,6
1508203981,9,12
1508207581,7,4
1508214781,14,14
1508218381,14,14
1508225581,7,12
1508229181,15,11
1508236381,12,11
1508239981,9,11
1508247181,7,11
1508250781,17,13
1508257981,14,14
1508261581,11,12
1508268781,9,11
1508272381,5,2
1508279581,6,9
1508283181,3,2
1508290381,18,14
1508293981,13,15
1508301181,14,17
1508304782,6,5
1508311981,9,8
1508315581,10,10
1508322781,11,10
1508326381,3,6
1508333581,15,15
1508337182,11,13
1508344381,7,8
1508347981,6,5
1508351581,8,4
1508355181,7,6
1508362382,14,17
1508369581,13,10
1508373181,10,8
1508376781,12,15
1508383981,12,11
1508387581,7,7
1508394781,10,7
1508398382,7,9
1508405581,7,8
1508409181,13,12
1508416381,11,12
1508419982,10,9
1508427181,8,8
1508430781,12,13
1508437981,8,7
1508441581,6,9
1508448781,18,21
1508455981,9,8
1508459581,7,6
1508466782,8,8
1508470381,10,9
1508477581,8,9
1508481181,12,11
1508488381,10,9
1508491981,13,13
1508495581,4,4
1508499181,7,6
1508502781,6,5
1508509981,10,11
1508513581,6,7
1508520781,10,7
1508524382,15,15
1508527982,11,9
1508535181,11,12
1508538781,9,10
1508542381,1,1
1508545981,6,6
1508549582,10,11
1508556782,9,6
1508560382,13,14
1508567581,16,16
1508571181,9,8
1508578381,10,14
1508581981,5,6
1508589181,8,8
1508592781,3,3
1508599981,9,8
1508603581,4,5
1508610781,8,9
1508614381,12,10
1508617981,5,5
1508625181,6,8
1508628781,8,8
1508632381,4,3
1508639582,12,9
1508643181,13,12
1508650381,13,11
1508653982,11,13
1508661181,11,15
1508664781,4,5
1508671981,11,8
1508675581,18,19
1508682781,7,9
1508686381,16,16
1508693582,11,11
1508697181,12,11
1508700781,9,10
1508704381,6,7
1508711582,4,3
1508715181,18,19
1508722381,10,10
1508725981,10,12
1508729581,7,6
1508736781,4,4
1508740381,14,14
1508747581,15,12
1508751182,5,7
1508758381,9,11
1508761981,13,11
1508769182,13,14
1508772782,16,17
1508779981,13,10
1508783581,12,12
1508787181,4,5
1508790781,9,9
1508794381,7,6
1508797982,10,10
1508801581,14,13
1508805181,12,14
1508808782,10,8
1508815981,11,10
1508819581,10,9
1508826781,6,7
1508830382,7,8
1508837581,5,6
1508841181,13,12
1508848381,7,6
1508851981,8,9
1508859181,8,7
1508862781,7,8
1508869981,10,9
1508873581,7,8
1508877181,11,10
1508884381,11,10
1508887981,9,9
1508891581,4,5
1508898781,11,14
1508902381,6,7
1508909581,15,11
1508913181,7,7
1508920381,15,15
1508923981,12,12
1508931181,6,3
1508934781,12,12
1508941981,10,14
1508945582,12,10
1508949181,12,9
1508952781,7,8
1508959981,11,10
1508963581,15,20
1508967181,8,10
1508970781,4,5
1508974381,13,11
1508977982,12,9
1508985181,7,9
1508988781,5,7
1508995982,12,12
1508999581,10,8
1509006782,8,10
1509010381,6,7
1509013981,8,9
1509017582,13,7
1509024781,15,14
1509028381,9,12
1509035581,14,15
1509039182,2,3
1509042782,6,8
1509046381,5,4
1509053581,4,3
1509057181,12,11
1509064381,14,14
1509067981,17,16
1509075181,9,9
1509078781,6,7
1509085981,10,10
1509089582,4,4
1509096781,13,10
1509100381,12,10
1509107581,11,15
1509111181,10,9
1509118381,11,11
1509121981,13,12
1509129181,11,12
1509136382,9,9
1509139981,9,9
1509147182,17,15
1509150781,8,9
1509157981,16,15
1509165181,7,10
1509172381,16,16
1509179581,14,12
1509183182,13,17
1509186781,8,6
1509193981,9,7
1509197582,13,10
1509204781,9,13
1509208381,12,11
1509215581,12,14
1509219181,11,12
1509226381,5,6
1509229981,6,5
1509237181,7,9
1509240781,10,10
1509247982,7,7
1509255181,15,15
1509262381,11,11
1509269581,11,12
1509273181,10,9
1509280381,11,11
1509287581,15,15
1509291182,13,8
1509298381,16,19
1509301982,18,19
1509309181,8,8
1509312781,10,11
1509316382,9,9
1509323581,10,7
1509327181,12,11
1509334381,9,10
1509341582,11,14
1509345181,9,13
1509352381,7,6
1509355981,11,9
1509363182,10,9
1509366781,5,7
1509373981,12,9
1509381182,9,8
1509384781,15,12
1509391981,11,11
1509395581,5,9
1509402781,7,5
1509406381,13,9
1509413582,10,12
1509420781,5,7
1509427981,22,21
1509431581,9,8
1509438782,12,14
1509442381,5,7
1509449581,12,11
1509453181,10,12
1509460381,13,11
1509463981,10,8
1509471181,5,6
1509474782,11,15
1509481981,11,10
1509485582,7,7
1509489181,6,6
1509492781,13,10
1509499981,8,10
1509503581,12,10
1509510782,11,12
1509514381,4,5
1509521582,8,8
1509525182,11,9
1509532381,10,8
1509535981,10,8
1509543182,5,7
1509546781,7,10
1509553981,10,11
1509557581,10,7
1509564781,11,12
1509568381,9,10
1509575581,6,8
1509579181,9,7
1509586381,8,8
1509589981,8,8
1509597181,18,17
1509600782,10,10
1509607981,10,12
1509611581,11,10
1509618782,10,11
1509622381,10,10
1509629581,4,4
1509633181,10,9
1509640381,10,13
1509643981,11,12
1509651181,13,14
1509654781,7,6
1509661981,14,11
1509665582,7,6
1509672781,13,18
1509676381,14,10
1509683581,17,15
1509687181,10,12
1509694381,6,6
1509697981,8,10
1509705181,16,13
1509708781,12,10
1509715981,12,12
1509719581,5,10
1509726781,16,14
1509730381,12,10
1509737581,14,13
1509741181,14,16
1509748381,11,15
1509751981,6,7
1509759181,12,11
1509762781,11,7
1509769982,13,13
1509773581,10,12
1509780781,2,2
1509784381,11,10
1509791582,16,14
1509795181,11,11
1509802381,9,10
1509805981,19,17
1509813182,12,12
1509816781,16,18
1509820381,7,6
1509827581,8,11
1509831181,5,5
1509838381,9,8
1509841981,4,5
1509849181,11,8
1509852781,7,7
1509859981,13,14
1509863581,11,9
1509870781,7,8
1509874381,9,13
1509881581,8,7
1509885181,15,10
1509892381,11,11
1509895981,11,14
1509903182,12,14
1509906781,12,14
1509913981,8,6
1509917581,15,13
1509924781,9,9
1509928381,14,13
1509935581,8,8
1509939181,13,16
1509946382,14,13
1509949982,13,12
1509957182,14,17
1509960781,13,13
1509967982,9,9
1509971581,16,15
1509978781,11,12
1509982381,6,7
1509989581,14,15
1509993181,12,13
1510000382,14,14
1510003981,11,11
1510011181,5,7
1510014781,13,11
1510021981,13,9
1510025581,6,5
1510032781,19,18
1510036382,13,10
1510043581,10,10
1510047181,10,9
1510054382,16,16
1510057981,13,13
1510065181,9,15
1510072381,14,13
1510075981,11,10
1510083181,16,16
1510090381,8,9
1510093981,7,6
1510101181,8,14
1510104781,7,5
1510111981,12,9
1510119181,8,6
1510126381,15,17
1510133581,9,8
1510137182,11,9
1510140781,15,15
1510147981,8,7
1510155181,14,16
1510162381,9,10
1510165981,13,15
1510173182,11,11
1510176781,10,10
1510183981,11,9
1510187581,13,11
1510194781,11,15
1510201981,15,11
1510209182,14,13
1510212781,10,12
1510219981,14,11
1510227182,13,15
1510234381,15,16
1510241581,10,14
1510245182,11,10
1510252381,18,16
1510255981,10,12
1510263181,14,10
1510266781,8,11
1510273981,15,15
1510277582,10,13
1510284782,9,6
1510291981,13,13
1510295582,13,13
1510302782,15,16
1510309981,13,12
1510317182,12,14
1510324381,11,11
1510327982,12,10
1510335181,11,10
1510338781,16,15
1510345982,11,12
1510349581,14,14
1510356782,6,5
1510360381,10,9
1510367581,10,11
1510371181,5,4
1510378381,10,10
1510381981,11,13
1510389181,6,5
1510392781,6,7
1510399981,11,7
1510407182,8,10
1510410781,8,12
1510417981,7,5
1510425181,13,11
1510428782,12,12
1510435981,9,12
1510439582,14,11
1510446781,15,15
1510450381,8,9
1510457581,11,12
1510464781,10,9
1510471981,10,10
1510475581,9,9
1510482782,9,8
1510489981,10,11
1510497181,13,11
1510504381,10,8
1510507981,13,14
1510515181,9,9
1510518781,12,10
1510525981,9,10
1510533181,10,12
1510536782,4,4
1510543981,11,12
1510551181,10,12
1510554781,10,10
1510561981,10,10
1510569181,9,9
1510576382,12,11
1510581027,15,14
1510590782,12,14
1510597982,9,10
1510605181,6,5
1510608781,10,8
1510612382,5,5
1510619581,13,14
1510626781,10,9
1510630381,8,10
1510637581,16,14
1510644781,7,5
1510651982,7,8
1510655581,4,5
